symbol, exchange, securityType, currency, expiry, localSymbol, listingExchange, multiplier, right, strike, tradingClass 
// —— FOREX —— 
//AUD,IDEALPRO,CASH,CHF, , , , , , , 
//AUD,IDEALPRO,CASH,CNH, , , , , , , 
//AUD,IDEALPRO,CASH,HKD, , , , , , , 
AUD,IDEALPRO,CASH,JPY, , , , , , , 
//AUD,IDEALPRO,CASH,NZD, , , , , , , 
//AUD,IDEALPRO,CASH,SGD, , , , , , , 
AUD,IDEALPRO,CASH,USD, , , , , , , 
//AUD,IDEALPRO,CASH,ZAR, , , , , , , 
//CAD,IDEALPRO,CASH,CHF, , , , , , , 
//CAD,IDEALPRO,CASH,CNH, , , , , , , 
//CAD,IDEALPRO,CASH,HKD, , , , , , , 
CAD,IDEALPRO,CASH,JPY, , , , , , , 
CHF,IDEALPRO,CASH,CNH, , , , , , , 
//CHF,IDEALPRO,CASH,DKK, , , , , , , 
//CHF,IDEALPRO,CASH,JPY, , , , , , , 
//CHF,IDEALPRO,CASH,NOK, , , , , , , 
//CHF,IDEALPRO,CASH,SEK, , , , , , , 
//CHF,IDEALPRO,CASH,ZAR, , , , , , , 
//CNH,IDEALPRO,CASH,HKD, , , , , , , 
//CNH,IDEALPRO,CASH,JPY, , , , , , , 
//DKK,IDEALPRO,CASH,NOK, , , , , , , 
//DKK,IDEALPRO,CASH,SEK, , , , , , , 
EUR,IDEALPRO,CASH,AUD, , , , , , , 
EUR,IDEALPRO,CASH,CAD, , , , , , , 
//EUR,IDEALPRO,CASH,CHF, , , , , , , 
EUR,IDEALPRO,CASH,CNH, , , , , , , 
//EUR,IDEALPRO,CASH,CZK, , , , , , , 
//EUR,IDEALPRO,CASH,DKK, , , , , , , 
EUR,IDEALPRO,CASH,GBP, , , , , , , 
//EUR,IDEALPRO,CASH,HKD, , , , , , , 
EUR,IDEALPRO,CASH,HUF, , , , , , , 
//EUR,IDEALPRO,CASH,ILS, , , , , , , 
EUR,IDEALPRO,CASH,JPY, , , , , , , 
EUR,IDEALPRO,CASH,MXN, , , , , , , 
//EUR,IDEALPRO,CASH,NOK, , , , , , , 
EUR,IDEALPRO,CASH,NZD, , , , , , , 
EUR,IDEALPRO,CASH,RUB, , , , , , , 
//EUR,IDEALPRO,CASH,SEK, , , , , , , 
//EUR,IDEALPRO,CASH,SGD, , , , , , , 
EUR,IDEALPRO,CASH,USD, , , , , , , 
//EUR,IDEALPRO,CASH,ZAR, , , , , , , 
GBP,IDEALPRO,CASH,AUD, , , , , , , 
GBP,IDEALPRO,CASH,CAD, , , , , , , 
//GBP,IDEALPRO,CASH,CHF, , , , , , , 
//GBP,IDEALPRO,CASH,CNH, , , , , , , 
//GBP,IDEALPRO,CASH,HKD, , , , , , , 
GBP,IDEALPRO,CASH,JPY, , , , , , , 
//GBP,IDEALPRO,CASH,NOK, , , , , , , 
//GBP,IDEALPRO,CASH,NZD, , , , , , , 
//GBP,IDEALPRO,CASH,SEK, , , , , , , 
GBP,IDEALPRO,CASH,USD, , , , , , , 
//GBP,IDEALPRO,CASH,ZAR, , , , , , , 
//HKD,IDEALPRO,CASH,JPY, , , , , , , 
//KRW,IDEALPRO,CASH,AUD, , , , , , , 
//KRW,IDEALPRO,CASH,CAD, , , , , , , 
//KRW,IDEALPRO,CASH,CHF, , , , , , , 
//KRW,IDEALPRO,CASH,EUR, , , , , , , 
//KRW,IDEALPRO,CASH,GBP, , , , , , , 
//KRW,IDEALPRO,CASH,HKD, , , , , , , 
//KRW,IDEALPRO,CASH,JPY, , , , , , , 
KRW,IDEALPRO,CASH,USD, , , , , , , 
//NZD,IDEALPRO,CASH,CAD, , , , , , , 
//NZD,IDEALPRO,CASH,CHF, , , , , , , 
//NZD,IDEALPRO,CASH,JPY, , , , , , , 
NZD,IDEALPRO,CASH,USD, , , , , , , 
//NOK,IDEALPRO,CASH,JPY, , , , , , , 
//NOK,IDEALPRO,CASH,SEK, , , , , , , 
//SEK,IDEALPRO,CASH,JPY, , , , , , , 
//SGD,IDEALPRO,CASH,JPY, , , , , , , 
USD,IDEALPRO,CASH,CAD, , , , , , , 
USD,IDEALPRO,CASH,CHF, , , , , , , 
//USD,IDEALPRO,CASH,CNH, , , , , , , 
//USD,IDEALPRO,CASH,CHF, , , , , , , 
USD,IDEALPRO,CASH,CZK, , , , , , , 
USD,IDEALPRO,CASH,HKD, , , , , , , 
//USD,IDEALPRO,CASH,HUF, , , , , , , 
//USD,IDEALPRO,CASH,ILS, , , , , , , 
USD,IDEALPRO,CASH,JPY, , , , , , , 
//USD,IDEALPRO,CASH,KRW, , , , , , , 
//USD,IDEALPRO,CASH,MXN, , , , , , , 
//USD,IDEALPRO,CASH,NOK, , , , , , , 
//USD,IDEALPRO,CASH,RUB, , , , , , , 
//USD,IDEALPRO,CASH,SEK, , , , , , , 
//USD,IDEALPRO,CASH,SGD, , , , , , , 
//USD,IDEALPRO,CASH,ZAR, , , , , , , 
//ZAR,IDEALPRO,CASH,JPY, , , , , , , 
// —— FUTURES —— 
ES,GLOBEX,FUTURE,USD,201606, , , , , ,
ES,GLOBEX,FUTURE,USD,201603, , , , , ,
ES,GLOBEX,FUTURE,USD,201512, , , , , ,
NQ,GLOBEX,FUTURE,USD,201606, , , , , ,
NQ,GLOBEX,FUTURE,USD,201603, , , , , ,
NQ,GLOBEX,FUTURE,USD,201512, , , , , ,
EMD,GLOBEX,FUTURE,USD,201512, , , , , ,
GLD,HKFE,FUTURE,USD,201512, , , , , ,
//TF,NYBOT,FUTURE,USD,201512, , , , , ,
//ZC,CBOT,FUTURE,USD,201512, , , , , ,
//ZL,CBOT,FUTURE,USD,201512, , , , , ,
// —— STOCKS —— 
BAC,NYSE,STOCK,USD, , , , , , , 
C,NYSE,STOCK,USD, , , , , , , 
WFC,NYSE,STOCK,USD, , , , , , , 
